Data;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31
01/04/2017;211,37;205,66;202,82;199,99;199,99;214,25;220,03;225,87;237,67;302,55;299,35;280,4;258,76;243,64;228,8;222,94;225,87;211,37;211,37;193,58;184,08;180,94;184,08;187,24;190,41;190,41;196,78;205,66;220,03;222,94;
01/03/2017;542,24;580,89;523,22;546,07;580,89;592,65;565,33;557,6;546,07;511,9;467,42;413,58;389,16;385,7;375,4;351,71;335,07;305,75;312,2;299,35;296,17;296,17;296,17;283,53;271,06;252,68;246,64;234,7;231,75;217,13;199,99
01/02/2017;523,22;573,1;676,9;660,59;644,4;584,8;612,4;576,99;508,15;471,08;449,25;478,42;542,24;747,56;899,54;926,45;921,95;881,74;859,65;790,1;734,93;697,46;644,4;569,21;508,15;471,08;489,51;527;;;
01/01/2017;489,51;542,24;557,6;546,07;561,46;949,05;1073,93;1188,79;1203,4;1188,79;1169,4;1169,4;1150,11;1107,06;1064,52;1008,59;949,05;886,18;837,72;794,4;681;557,6;542,24;511,9;527;519,44;534,6;549,9;553,75;546,07;534,6
01/12/2016;321,94;315,44;315,44;341,69;351,71;348,36;348,36;341,69;325,21;341,69;427,74;504,4;542,24;553,75;534,6;496,94;456,49;413,58;382,26;368,59;399,57;474,75;511,9;569,21;573,1;576,99;527;467,42;460,12;452,87;463,77
01/11/2016;640,38;604,47;553,75;493,22;442,04;406,56;371,99;345,02;375,4;431,3;442,04;474,75;508,15;511,9;493,22;463,77;438,45;420,64;410,06;396,09;382,26;355,06;321,94;292,99;271,06;264,89;264,89;267,97;277,27;318,68;
01/10/2016;243,64;234,7;228,8;231,75;231,75;234,7;286,67;305,75;321,94;335,07;338,38;328,49;368,59;478,42;496,94;519,44;538,42;672,81;815,97;855,25;890,63;908,49;926,45;944,52;962,69;980,97;908,49;820,31;760,24;714,04;676,9
01/09/2016;1302,16;1257,42;1183,94;1092,82;999,36;967,25;926,45;859,65;811,64;777,26;739,13;705,74;652,48;612,4;573,1;530,8;500,67;474,75;496,94;467,42;413,58;378,83;358,43;338,38;315,44;299,35;289,83;277,27;267,97;252,68;
01/08/2016;341,69;335,07;325,21;335,07;325,21;308,97;296,17;308,97;348,36;355,06;355,06;358,43;355,06;341,69;325,21;368,59;424,19;478,42;542,24;904,01;1262,37;1347,36;1367,61;1357,47;1342,32;1327,21;1317,17;1302,16;1297,16;1307,16;1307,16
01/07/2016;899,54;846,47;803;760,24;701,59;640,38;576,99;504,4;449,25;396,09;371,99;351,71;341,69;365,19;452,87;546,07;756,01;811,64;829;803;773;718,2;664,66;624,34;592,65;565,33;538,42;496,94;452,87;410,06;368,59
01/06/2016;1179,09;1183,94;1174,24;1159,74;1140,5;1102,31;1064,52;999,36;926,45;850,86;777,26;722,38;668,73;596,58;534,6;471,08;496,94;600,52;569,21;573,1;664,66;833,36;949,05;985,56;1008,59;1008,59;1003,97;990,15;967,25;939,99;
